"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|FI","Actual Total Load [MW] - BZN|FI"
"01.01.2019 00:00 - 01.01.2019 01:00","9692","10152"
"01.01.2019 01:00 - 01.01.2019 02:00","9535","9920"
"01.01.2019 02:00 - 01.01.2019 03:00","9524","9845"
"01.01.2019 03:00 - 01.01.2019 04:00","9551","9913"
"01.01.2019 04:00 - 01.01.2019 05:00","9728","10027"
"01.01.2019 05:00 - 01.01.2019 06:00","9767","9967"
"01.01.2019 06:00 - 01.01.2019 07:00","9977","10104"
"01.01.2019 07:00 - 01.01.2019 08:00","9996","10084"
"01.01.2019 08:00 - 01.01.2019 09:00","10017","10230"
"01.01.2019 09:00 - 01.01.2019 10:00","10220","10407"
"01.01.2019 10:00 - 01.01.2019 11:00","10297","10533"
"01.01.2019 11:00 - 01.01.2019 12:00","10327","10568"
"01.01.2019 12:00 - 01.01.2019 13:00","10453","10547"
"01.01.2019 13:00 - 01.01.2019 14:00","10769","10838"
"01.01.2019 14:00 - 01.01.2019 15:00","10958","11189"
"01.01.2019 15:00 - 01.01.2019 16:00","10953","11263"
"01.01.2019 16:00 - 01.01.2019 17:00","11031","11298"
"01.01.2019 17:00 - 01.01.2019 18:00","10982","11286"
"01.01.2019 18:00 - 01.01.2019 19:00","10815","11107"
"01.01.2019 19:00 - 01.01.2019 20:00","10473","10745"
"01.01.2019 20:00 - 01.01.2019 21:00","10708","10968"
"01.01.2019 21:00 - 01.01.2019 22:00","10527","10844"
"01.01.2019 22:00 - 01.01.2019 23:00","10226","10517"
"01.01.2019 23:00 - 02.01.2019 00:00","9853","10202"
"02.01.2019 00:00 - 02.01.2019 01:00","9654","10038"
"02.01.2019 01:00 - 02.01.2019 02:00","9574","10023"
"02.01.2019 02:00 - 02.01.2019 03:00","9630","10173"
"02.01.2019 03:00 - 02.01.2019 04:00","9918","10555"
"02.01.2019 04:00 - 02.01.2019 05:00","10707","11191"
"02.01.2019 05:00 - 02.01.2019 06:00","11156","11691"
"02.01.2019 06:00 - 02.01.2019 07:00","11518","12037"
"02.01.2019 07:00 - 02.01.2019 08:00","11565","12066"
"02.01.2019 08:00 - 02.01.2019 09:00","11506","12136"
"02.01.2019 09:00 - 02.01.2019 10:00","11590","12242"
