Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2020,1,1,00:00,UTC,0,1011.3,98,0,0,-1.2,-1.5,50000,275,6.2,4.7
2020,1,1,01:00,UTC,0,1011.3,95,0,0,-0.7,-1.4,50000,279,8,5.1
2020,1,1,02:00,UTC,0,1010.8,93,0,0,-0.5,-1.4,50000,286,7.2,5.7
2020,1,1,03:00,UTC,2,1010.6,90,0,0,0.1,-1.4,50000,279,7.1,5.5
2020,1,1,04:00,UTC,6,1009.8,92,0,0,-0.3,-1.5,50000,260,5.6,4.3
2020,1,1,05:00,UTC,0,1009.7,100,0,0,-1.3,-1.3,50000,240,5.4,4.1
2020,1,1,06:00,UTC,7,1009.5,95,0,0,-0.3,-1,50000,248,6.3,4.8
2020,1,1,07:00,UTC,8,1009.5,90,0,0,0.5,-0.9,50000,257,5.2,3.8
2020,1,1,08:00,UTC,7,1009.3,89,0,0,0.9,-0.8,50000,246,5.2,3.6
2020,1,1,09:00,UTC,8,1009.1,88,0,0,1.5,-0.3,50000,236,5.4,4
2020,1,1,10:00,UTC,7,1008.4,89,0,0,1.8,0.1,50000,231,5,4.1
2020,1,1,11:00,UTC,2,1007.5,90,0,0,1.8,0.3,50000,218,5.1,3.8
2020,1,1,12:00,UTC,8,1007.5,89,0,0,2.1,0.5,50000,233,7.5,5.1
2020,1,1,13:00,UTC,8,1007.1,83,0,0,2.6,0.1,50000,259,7.7,5.5
2020,1,1,14:00,UTC,6,1006.9,86,0,0,2.3,0.2,50000,252,7.9,5.5
2020,1,1,15:00,UTC,8,1006.7,87,0,0,2.3,0.3,50000,256,7.1,5.4
2020,1,1,16:00,UTC,7,1006.7,86,0,0,2.3,0.1,50000,264,8.2,6
2020,1,1,17:00,UTC,0,1006.4,89,0,0,1.8,0.1,50000,261,7.8,6
2020,1,1,18:00,UTC,1,1006.2,91,0,0,1.5,0.2,50000,252,6.7,5.2
2020,1,1,19:00,UTC,0,1006,88,0,0,2,0.2,50000,269,8.6,6
