Year,m,d,Time,Time zone,Air temperature (degC),Global radiation (W/m2)
2021,1,1,0:00,UTC,-0.5,-0.9
2021,1,1,0:10,UTC,-0.5,-0.9
2021,1,1,0:20,UTC,-0.6,-1.2
2021,1,1,0:30,UTC,-0.5,-1.3
2021,1,1,0:40,UTC,-0.7,-1.4
2021,1,1,0:50,UTC,-0.7,-1.1
2021,1,1,1:00,UTC,-0.7,-1
2021,1,1,1:10,UTC,-0.6,-1
2021,1,1,1:20,UTC,-0.7,-1.2
2021,1,1,1:30,UTC,-0.6,-0.9
2021,1,1,1:40,UTC,-0.6,-0.9
2021,1,1,1:50,UTC,-0.5,-1
2021,1,1,2:00,UTC,-0.5,-1.1
2021,1,1,2:10,UTC,-0.5,-1
2021,1,1,2:20,UTC,-0.5,-1.2
2021,1,1,2:30,UTC,-0.5,-1.1
2021,1,1,2:40,UTC,-0.5,-1.3
2021,1,1,2:50,UTC,-0.5,-1.2
2021,1,1,3:00,UTC,-0.6,-1
2021,1,1,3:10,UTC,-0.6,-1
2021,1,1,3:20,UTC,-0.6,-1.1
2021,1,1,3:30,UTC,-0.6,-1.2
2021,1,1,3:40,UTC,-0.6,-1.2
2021,1,1,3:50,UTC,-0.6,-1.6
2021,1,1,4:00,UTC,-0.7,-1
2021,1,1,4:10,UTC,-0.8,-1
2021,1,1,4:20,UTC,-1,-1.2
2021,1,1,4:30,UTC,-1,-0.9
2021,1,1,4:40,UTC,-0.8,-0.8
2021,1,1,4:50,UTC,-0.7,-0.6
2021,1,1,5:00,UTC,-0.5,-1
2021,1,1,5:10,UTC,-0.5,-1
2021,1,1,5:20,UTC,-0.5,-1
2021,1,1,5:30,UTC,-0.4,-0.8
2021,1,1,5:40,UTC,-0.5,-0.8
2021,1,1,5:50,UTC,-0.5,-0.9
2021,1,1,6:00,UTC,-0.5,-1.3
2021,1,1,6:10,UTC,-0.5,-1.2
2021,1,1,6:20,UTC,-0.7,-1.1
2021,1,1,6:30,UTC,-0.7,-1.7
2021,1,1,6:40,UTC,-0.8,-1.7
2021,1,1,6:50,UTC,-0.8,-0.9
2021,1,1,7:00,UTC,-0.8,-0.8
2021,1,1,7:10,UTC,-0.6,-0.7
2021,1,1,7:20,UTC,-0.6,-0.4
2021,1,1,7:30,UTC,-0.6,0.1
2021,1,1,7:40,UTC,-0.5,1
2021,1,1,7:50,UTC,-0.5,2.1
2021,1,1,8:00,UTC,-0.6,1.7
2021,1,1,8:10,UTC,-0.6,3.1
2021,1,1,8:20,UTC,-0.6,4.6
2021,1,1,8:30,UTC,-0.5,3.5
2021,1,1,8:40,UTC,-0.4,4.6
2021,1,1,8:50,UTC,-0.3,6.9
2021,1,1,9:00,UTC,-0.2,11
2021,1,1,9:10,UTC,-0.2,10.9
2021,1,1,9:20,UTC,-0.2,14.6
2021,1,1,9:30,UTC,-0.2,12.7
2021,1,1,9:40,UTC,-0.2,13.4
2021,1,1,9:50,UTC,-0.1,18.8
2021,1,1,10:00,UTC,-0.1,19.9
2021,1,1,10:10,UTC,-0.1,22
2021,1,1,10:20,UTC,-0.1,20.6
2021,1,1,10:30,UTC,-0.1,28.2
2021,1,1,10:40,UTC,-0.1,40.7
2021,1,1,10:50,UTC,-0.1,33.3
2021,1,1,11:00,UTC,-0.1,35.7
2021,1,1,11:10,UTC,-0.2,36.4
2021,1,1,11:20,UTC,-0.3,34
2021,1,1,11:30,UTC,-0.3,56.1
2021,1,1,11:40,UTC,-0.3,43.8
2021,1,1,11:50,UTC,-0.3,34
2021,1,1,12:00,UTC,-0.3,18.9
2021,1,1,12:10,UTC,-0.4,13.8
2021,1,1,12:20,UTC,-0.4,14.4
2021,1,1,12:30,UTC,-0.4,12.1
2021,1,1,12:40,UTC,-0.4,7.7
2021,1,1,12:50,UTC,-0.4,6.2
2021,1,1,13:00,UTC,-0.4,5.4
2021,1,1,13:10,UTC,-0.4,2.4
2021,1,1,13:20,UTC,-0.4,0.8
2021,1,1,13:30,UTC,-0.4,0.2
2021,1,1,13:40,UTC,-0.5,-0.2
2021,1,1,13:50,UTC,-0.5,-0.8
2021,1,1,14:00,UTC,-0.6,-1
2021,1,1,14:10,UTC,-0.6,-1
2021,1,1,14:20,UTC,-0.6,-1
2021,1,1,14:30,UTC,-0.6,-0.8
2021,1,1,14:40,UTC,-0.6,-0.8
2021,1,1,14:50,UTC,-0.7,-0.9
2021,1,1,15:00,UTC,-0.7,-1.1
2021,1,1,15:10,UTC,-0.7,-1.2
2021,1,1,15:20,UTC,-0.8,-0.9
2021,1,1,15:30,UTC,-0.8,-0.9
2021,1,1,15:40,UTC,-0.7,-1.1
2021,1,1,15:50,UTC,-0.8,-0.9
2021,1,1,16:00,UTC,-0.8,-0.7
2021,1,1,16:10,UTC,-0.8,-0.9
2021,1,1,16:20,UTC,-0.8,-1.1
2021,1,1,16:30,UTC,-0.8,-0.9
2021,1,1,16:40,UTC,-0.9,-1
2021,1,1,16:50,UTC,-1,-1.1
2021,1,1,17:00,UTC,-1.1,-1
2021,1,1,17:10,UTC,-1.1,-0.8
2021,1,1,17:20,UTC,-1.1,-1
2021,1,1,17:30,UTC,-1.1,-1.1
2021,1,1,17:40,UTC,-1.1,-1.1
2021,1,1,17:50,UTC,-1,-1.1
2021,1,1,18:00,UTC,-0.9,-0.9
2021,1,1,18:10,UTC,-1,-0.8
2021,1,1,18:20,UTC,-1,-0.8
2021,1,1,18:30,UTC,-1.2,-1
2021,1,1,18:40,UTC,-1.2,-1.1
2021,1,1,18:50,UTC,-1.2,-1.1
2021,1,1,19:00,UTC,-1.2,-1.2
2021,1,1,19:10,UTC,-1.2,-1.1
2021,1,1,19:20,UTC,-1.2,-1
2021,1,1,19:30,UTC,-1.1,-0.8
2021,1,1,19:40,UTC,-1.1,-0.8
2021,1,1,19:50,UTC,-1.1,-1.1
2021,1,1,20:00,UTC,-1.1,-0.9
2021,1,1,20:10,UTC,-1.2,-0.9
2021,1,1,20:20,UTC,-1.3,-0.9
2021,1,1,20:30,UTC,-1.3,-1.2
2021,1,1,20:40,UTC,-1.2,-1.2
2021,1,1,20:50,UTC,-1.5,-1.4
2021,1,1,21:00,UTC,-1.5,-1.1
2021,1,1,21:10,UTC,-1.5,-1
2021,1,1,21:20,UTC,-1.4,-1.1
2021,1,1,21:30,UTC,-1.4,-0.8
2021,1,1,21:40,UTC,-1.4,-1
2021,1,1,21:50,UTC,-1.3,-1.4
2021,1,1,22:00,UTC,-1.4,-1
2021,1,1,22:10,UTC,-1.6,-0.9
2021,1,1,22:20,UTC,-1.6,-0.8
2021,1,1,22:30,UTC,-1.8,-1
2021,1,1,22:40,UTC,-1.7,-1.2
2021,1,1,22:50,UTC,-1.5,-0.9
2021,1,1,23:00,UTC,-1.7,-0.9
2021,1,1,23:10,UTC,-1.9,-1
2021,1,1,23:20,UTC,-1.9,-1
2021,1,1,23:30,UTC,-1.7,-0.9
2021,1,1,23:40,UTC,-1.8,-0.8
2021,1,1,23:50,UTC,-1.7,-0.9
2021,1,2,0:00,UTC,-1.7,-1
2021,1,2,0:10,UTC,-1.6,-1.1
2021,1,2,0:20,UTC,-1.6,-1.1
2021,1,2,0:30,UTC,-1.7,-0.9
2021,1,2,0:40,UTC,-1.7,-0.9
2021,1,2,0:50,UTC,-1.8,-1
2021,1,2,1:00,UTC,-1.7,-0.8
2021,1,2,1:10,UTC,-1.8,-0.9
2021,1,2,1:20,UTC,-1.8,-1
2021,1,2,1:30,UTC,-1.8,-1.2
2021,1,2,1:40,UTC,-1.9,-1.2
2021,1,2,1:50,UTC,-2.1,-1
2021,1,2,2:00,UTC,-2.3,-0.8
2021,1,2,2:10,UTC,-2.4,-0.9
2021,1,2,2:20,UTC,-2.6,-1
2021,1,2,2:30,UTC,-2.8,-1.1
2021,1,2,2:40,UTC,-2.9,-1
2021,1,2,2:50,UTC,-2.9,-1.1
2021,1,2,3:00,UTC,-3,-0.8
2021,1,2,3:10,UTC,-2.9,-0.8
2021,1,2,3:20,UTC,-2.9,-0.8
2021,1,2,3:30,UTC,-2.8,-0.8
2021,1,2,3:40,UTC,-2.8,-1
2021,1,2,3:50,UTC,-2.8,-1
2021,1,2,4:00,UTC,-2.8,-0.9
2021,1,2,4:10,UTC,-2.7,-0.8
2021,1,2,4:20,UTC,-2.7,-0.9
2021,1,2,4:30,UTC,-2.8,-1
2021,1,2,4:40,UTC,-2.7,-1
2021,1,2,4:50,UTC,-2.8,-0.9
2021,1,2,5:00,UTC,-2.7,-1.1
2021,1,2,5:10,UTC,-2.8,-1
2021,1,2,5:20,UTC,-2.7,-1
2021,1,2,5:30,UTC,-2.8,-1
2021,1,2,5:40,UTC,-2.8,-0.8
2021,1,2,5:50,UTC,-2.8,-0.8
2021,1,2,6:00,UTC,-2.7,-1.1
2021,1,2,6:10,UTC,-2.8,-1.1
2021,1,2,6:20,UTC,-2.8,-0.9
2021,1,2,6:30,UTC,-2.8,-0.8
2021,1,2,6:40,UTC,-2.8,-0.7
2021,1,2,6:50,UTC,-2.7,-1.4
2021,1,2,7:00,UTC,-2.7,-1.1
2021,1,2,7:10,UTC,-2.7,-1
2021,1,2,7:20,UTC,-2.8,-0.8
2021,1,2,7:30,UTC,-2.7,0
