Year,m,d,Time,Time zone,Air temperature (degC),Global radiation (W/m2)
2021,5,1,0:00,UTC,-0.9,-0.7
2021,5,1,0:10,UTC,-1.2,-0.9
2021,5,1,0:20,UTC,-1.4,-1.1
2021,5,1,0:30,UTC,-1.6,-1.7
2021,5,1,0:40,UTC,-2,-1.4
2021,5,1,0:50,UTC,-2.3,-1.3
2021,5,1,1:00,UTC,-2.3,-1.3
2021,5,1,1:10,UTC,-2.1,-0.7
2021,5,1,1:20,UTC,-2,-0.9
2021,5,1,1:30,UTC,-2.1,-0.6
2021,5,1,1:40,UTC,-1.7,-0.4
2021,5,1,1:50,UTC,-1.8,0.4
2021,5,1,2:00,UTC,-2,1.1
2021,5,1,2:10,UTC,-1.8,3.7
2021,5,1,2:20,UTC,-1.9,5.7
2021,5,1,2:30,UTC,-2.1,8.7
2021,5,1,2:40,UTC,-2,12.4
2021,5,1,2:50,UTC,-1.6,12.2
2021,5,1,3:00,UTC,-1.7,29.7
2021,5,1,3:10,UTC,-1.6,44.6
2021,5,1,3:20,UTC,-1.5,60
2021,5,1,3:30,UTC,-1.4,48.3
2021,5,1,3:40,UTC,-1.2,63.6
2021,5,1,3:50,UTC,-1,80.6
2021,5,1,4:00,UTC,-0.8,102.8
2021,5,1,4:10,UTC,,111.3
2021,5,1,4:20,UTC,,122.5
2021,5,1,4:30,UTC,-0.3,223.2
2021,5,1,4:40,UTC,0.1,252.6
2021,5,1,4:50,UTC,0.5,276.1
2021,5,1,5:00,UTC,0.7,298.7
2021,5,1,5:10,UTC,0.8,321.6
2021,5,1,5:20,UTC,0.9,343.2
2021,5,1,5:30,UTC,1.4,364.6
2021,5,1,5:40,UTC,1.2,386.4
2021,5,1,5:50,UTC,1.9,407.1
2021,5,1,6:00,UTC,1.8,428.3
2021,5,1,6:10,UTC,1.9,447.7
2021,5,1,6:20,UTC,1.9,467.3
2021,5,1,6:30,UTC,2.2,491.6
2021,5,1,6:40,UTC,2.6,511
2021,5,1,6:50,UTC,2.7,528.8
2021,5,1,7:00,UTC,2.5,550.7
2021,5,1,7:10,UTC,2.7,568.2
2021,5,1,7:20,UTC,3,580.8
2021,5,1,7:30,UTC,3.3,671.5
2021,5,1,7:40,UTC,3,621.4
2021,5,1,7:50,UTC,3.2,689.1
2021,5,1,8:00,UTC,3.6,193.6
2021,5,1,8:10,UTC,3.8,779
2021,5,1,8:20,UTC,3.7,155
2021,5,1,8:30,UTC,3.9,645.9
2021,5,1,8:40,UTC,3.1,188.6
2021,5,1,8:50,UTC,4.2,869.9
2021,5,1,9:00,UTC,3,207.9
2021,5,1,9:10,UTC,3.5,883.5
2021,5,1,9:20,UTC,3.6,338
2021,5,1,9:30,UTC,5.1,949.1
2021,5,1,9:40,UTC,3.4,312.6
